model,method,rank,feature,mean,std
GradientBoosting,native,1.0,f0_max,0.22938450685779926,0.17856527533178007
GradientBoosting,native,2.0,mfcc_4_mean,0.08376318293904529,0.1872557149075697
GradientBoosting,native,3.0,f1_std,0.07959866884676534,0.1779880159021546
GradientBoosting,native,4.0,mfcc_6_mean,0.06551378106754191,0.14290849501206945
GradientBoosting,native,5.0,intensity_min,0.06381957131187624,0.12226517655711423
GradientBoosting,native,6.0,mfcc_2_mean,0.05948717948717948,0.13301737712306438
GradientBoosting,native,7.0,f0_std,0.05474447282500315,0.0810982207568002
GradientBoosting,native,8.0,f3_std,0.05348896687280581,0.070423827840625
GradientBoosting,native,9.0,delta_mfcc_10_mean,0.046943823392238196,0.10396736493384318
GradientBoosting,native,10.0,delta_mfcc_2_mean,0.04134761390114385,0.08336308528791724
GradientBoosting,native,11.0,delta_mfcc_1_mean,0.028607246379639784,0.0507771980681113
GradientBoosting,native,12.0,f0_mean,0.02402244866992042,0.024154986647502385
GradientBoosting,native,13.0,autocorr_harmonicity,0.022000378391898195,0.026065914603368306
GradientBoosting,native,14.0,delta_mfcc_9_mean,0.021106873119713876,0.018429422934405325
GradientBoosting,native,15.0,mfcc_5_mean,0.016107642477733348,0.02887314048409438
GradientBoosting,native,16.0,f2_mean,0.012218552525793033,0.016765498303665607
GradientBoosting,native,17.0,intensity_mean,0.00947167753518666,0.02117931482963503
GradientBoosting,native,18.0,intensity_max,0.009381766452976694,0.020978267537882976
GradientBoosting,native,19.0,f1_mean,0.00901910845301022,0.02016733959737382
GradientBoosting,native,20.0,f3_mean,0.008525376770358273,0.01906332199231871
LogisticRegression,native,1.0,f0_max,0.7535657238648109,0.20272991320330977
LogisticRegression,native,2.0,hnr_mean,0.6490877147768427,0.17803817665171306
LogisticRegression,native,3.0,shimmer_apq11,0.5532341508633244,0.1452537195621053
LogisticRegression,native,4.0,delta_mfcc_4_mean,0.4959325443418197,0.16323236322857998
LogisticRegression,native,5.0,delta_mfcc_2_mean,0.49234748791667027,0.10333019629462036
LogisticRegression,native,6.0,delta_mfcc_1_mean,0.47357981209197025,0.27332163097013235
LogisticRegression,native,7.0,mfcc_5_mean,0.47016313903194507,0.12656735571848968
LogisticRegression,native,8.0,mfcc_4_mean,0.4261283029270051,0.2331580327042672
LogisticRegression,native,9.0,mfcc_10_mean,0.4184392323015369,0.22075109140497634
LogisticRegression,native,10.0,mfcc_11_mean,0.3880319788404794,0.1924671949207323
LogisticRegression,native,11.0,f0_min,0.38254464696629176,0.11137512683099539
LogisticRegression,native,12.0,delta_mfcc_8_mean,0.3778433388650571,0.2872817838610789
LogisticRegression,native,13.0,intensity_min,0.3760527491226716,0.27987191930241107
LogisticRegression,native,14.0,intensity_mean,0.3616315083148317,0.05844024089110657
LogisticRegression,native,15.0,delta_mfcc_10_mean,0.36128919402945914,0.074183997931798
LogisticRegression,native,16.0,jitter_ppq5,0.3263264264791872,0.0643274430895124
LogisticRegression,native,17.0,delta_mfcc_7_mean,0.2956512137181846,0.10116323944009643
LogisticRegression,native,18.0,mfcc_7_mean,0.2801439639863584,0.11627185111646436
LogisticRegression,native,19.0,delta_mfcc_12_mean,0.27569395048422696,0.22884452944293343
LogisticRegression,native,20.0,autocorr_harmonicity,0.26721734616940546,0.08761526459461715
RandomForest,native,1.0,f0_max,0.05156103182448911,0.019237351816836928
RandomForest,native,2.0,delta_mfcc_2_mean,0.0386716610850387,0.017799313142735675
RandomForest,native,3.0,f3_std,0.03781894193155858,0.011388025735328572
RandomForest,native,4.0,autocorr_harmonicity,0.03766597752136462,0.01672501633340619
RandomForest,native,5.0,intensity_mean,0.03549953007586905,0.021181534201878145
RandomForest,native,6.0,f0_mean,0.03229335087428605,0.012233769011467393
RandomForest,native,7.0,shimmer_apq3,0.031518945019032386,0.013284763149085105
RandomForest,native,8.0,mfcc_12_mean,0.03089458259862894,0.007195081728252115
RandomForest,native,9.0,f1_std,0.03084212863360734,0.021667833658421228
RandomForest,native,10.0,mfcc_6_mean,0.02996640568893183,0.023793443701780485
